"","X","id","latitude","longitude","findspot_ancient_clean","province_label_clean","modern_region_clean","not_before","not_after","type_of_monument_clean","material_clean","type_of_inscription_clean","transcription","clean_text_interpretive_word","id_people","person_number_insc","name","praenomen","nomen","name_clean","nomen_clean","cognomen","supernomen","gender","origo","status","total_age","age_years","age_months","age_hours","nomen_nonempty"
"81",9629,"HD004580",8.0583,45.5628,"Vercellae","Transpadana (Regio XI)","Piemonte",42,100,"tabula","NULL","honorific inscription","Septiciae M(arci) [f(iliae)] / Marcellina[e] / sacerdoti diva[e Aug(ustae)] / d(ecreto) d(ecurionum)","Septiciae Marci filiae Marcellinae sacerdoti divae Augustae decreto decurionum",9629,1,"Septiciae M.[f.] Marcellina[e]",NA,"Septicia","Septiciae M.[f.] Marcellina[e]","Septicia","Marcellina+",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,"Septicia"
"82",10488,"HD005005",9.0858,45.8119,"Comum","Transpadana (Regio XI)","NULL",51,200,"altar","NULL","votive inscription","Iovi Impe/trabili M(arcus?) / Brocchius / Pupus / v(otum) s(olvit) l(ibens) m(erito)","Iovi Impetrabili Marcus Brocchius Pupus votum solvit libens merito",10488,1,"M.(?) Brocchius Pupus","M.?","Brocchius","M.(?) Brocchius Pupus","Brocchius","Pupus",NA,NA,NA,NA,NA,NA,NA,NA,"Brocchius"
"83",10969,"HD005557",9.25,45.8,"NULL","Transpadana (Regio XI)","NULL",201,300,"urn","NULL","epitaph","Caniniae / L(uci) f(iliae) / Optatae / [------?","Caniniae Luci filiae Optatae",10969,1,"Caniniae L.f. Optatae",NA,"Caninia","Caniniae L.f. Optatae","Caninia","Optata",NA,NA,NA,NA,NA,NA,NA,NA,"Caninia"
"84",11334,"HD005767",9.1566,45.1859,"Ticinum","Transpadana (Regio XI)","Lombardia",326,327,"mile-/leaguestone","NULL","mile-/leaguestone","D(omino) n(ostro) Imp(eratori) Caes(ari) / Fl(avio) Constantino Maximo / Victori Aug(usto) / pont(ifici) max(imo) trib(unicia) pot(estate) XXIII imp(eratori) XXII / cons(uli) VII p(atri) <p>(atriae) proconsul(i) / [humanarum r]erum optimo / [prin]cipi divi Constan[ti] / [fili]o bono r(e)i publicae n{i}ato","Domino nostro Imperatori Caesari Flavio Constantino Maximo Victori Augusto pontifici maximo tribunicia potestate XXIII imperatori XXII consuli VII patri patriae proconsuli humanarum rerum optimo principi divi Constanti filio bono rei publicae niato",11334,1,"Fl. Constantino",NA,"Flavius*","Fl. Constantino","Flavius","Constantinus",NA,"male",NA,NA,NA,NA,NA,NA,"Flavius"
"85",11335,"HD005767",9.1566,45.1859,"Ticinum","Transpadana (Regio XI)","Lombardia",326,327,"mile-/leaguestone","NULL","mile-/leaguestone","D(omino) n(ostro) Imp(eratori) Caes(ari) / Fl(avio) Constantino Maximo / Victori Aug(usto) / pont(ifici) max(imo) trib(unicia) pot(estate) XXIII imp(eratori) XXII / cons(uli) VII p(atri) <p>(atriae) proconsul(i) / [humanarum r]erum optimo / [prin]cipi divi Constan[ti] / [fili]o bono r(e)i publicae n{i}ato","Domino nostro Imperatori Caesari Flavio Constantino Maximo Victori Augusto pontifici maximo tribunicia potestate XXIII imperatori XXII consuli VII patri patriae proconsuli humanarum rerum optimo principi divi Constanti filio bono rei publicae niato",11335,2,"Constan[ti]",NA,NA,"Constan[ti]",NA,"Constantius+",NA,"male",NA,NA,NA,NA,NA,NA,NA
"86",11571,"HD005881",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",301,450,"tabula","NULL","epitaph","Valerius / Luci(u)s centiri/on(!) legi(onis) IIII Fla(viae) / Macedon stu/pendi<h>oron(!) X / fe(cit) dul(cissimo) frater / Limeni(u)s","Valerius Lucius centirion legionis IIII Flaviae Macedon stupendihoron X fecit dulcissimo frater Limenius",11571,1,"Valerius Lucis",NA,"Valerius","Valerius Lucis","Valerius","Lucius*",NA,"male","Macedon","military personnel",NA,NA,NA,NA,"Valerius"
"87",11572,"HD005881",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",301,450,"tabula","NULL","epitaph","Valerius / Luci(u)s centiri/on(!) legi(onis) IIII Fla(viae) / Macedon stu/pendi<h>oron(!) X / fe(cit) dul(cissimo) frater / Limeni(u)s","Valerius Lucius centirion legionis IIII Flaviae Macedon stupendihoron X fecit dulcissimo frater Limenius",11572,2,"Limenis",NA,NA,"Limenis",NA,"Limenius*",NA,"male",NA,"military personnel",NA,NA,NA,NA,NA
"88",12026,"HD006476",7.6866,45.0702,"Augusta Taurinorum","Transpadana (Regio XI)","NULL",51,200,"stele","NULL","epitaph","D(is) M(a)n(ibus) / Lucides / Agon Pius / co(n)servi / s(ibi) v(ivi) f(ecerunt)","Dis Manibus Lucides Agon Pius conservi sibi vivi fecerunt",12026,1,"Lucides",NA,NA,"Lucides",NA,"Lucides",NA,NA,NA,"slaves",NA,NA,NA,NA,NA
"89",12027,"HD006476",7.6866,45.0702,"Augusta Taurinorum","Transpadana (Regio XI)","NULL",51,200,"stele","NULL","epitaph","D(is) M(a)n(ibus) / Lucides / Agon Pius / co(n)servi / s(ibi) v(ivi) f(ecerunt)","Dis Manibus Lucides Agon Pius conservi sibi vivi fecerunt",12027,2,"Agon",NA,NA,"Agon",NA,"Agon",NA,NA,NA,"slaves",NA,NA,NA,NA,NA
"90",12028,"HD006476",7.6866,45.0702,"Augusta Taurinorum","Transpadana (Regio XI)","NULL",51,200,"stele","NULL","epitaph","D(is) M(a)n(ibus) / Lucides / Agon Pius / co(n)servi / s(ibi) v(ivi) f(ecerunt)","Dis Manibus Lucides Agon Pius conservi sibi vivi fecerunt",12028,3,"Pius",NA,NA,"Pius",NA,"Pius",NA,NA,NA,"slaves",NA,NA,NA,NA,NA
"91",12764,"HD007374",8.4262,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",51,130,"tabula","NULL","epitaph","Dis Ma[nibus] / Cepasiae Val[erianae ---] / sanctiss[imae ---] / piiss[imae ---] / [------?","Dis Manibus Cepasiae Valerianae sanctissimae piissimae",12764,1,"Cepasiae Val[erianae]",NA,"Cepasia","Cepasiae Val[erianae]","Cepasia","Valeriana+",NA,"female",NA,NA,NA,NA,NA,NA,"Cepasia"
"92",12765,"HD007377",8.4262,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",51,150,"tabula","NULL","epitaph","D(is) [M(anibus)] / Euty[chiae] / Geni[alis] / mat[ri]","Dis Manibus Eutychiae Genialis matri",12765,1,"Euty[chiae]",NA,NA,"Euty[chiae]",NA,"Eutychia",NA,"female",NA,NA,NA,NA,NA,NA,NA
"93",12766,"HD007377",8.4262,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",51,150,"tabula","NULL","epitaph","D(is) [M(anibus)] / Euty[chiae] / Geni[alis] / mat[ri]","Dis Manibus Eutychiae Genialis matri",12766,2,"Geni[alis]",NA,NA,"Geni[alis]",NA,"Genialis",NA,"male",NA,NA,NA,NA,NA,NA,NA
"94",12767,"HD007380",8.4262,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",1,150,"statue base","NULL","votive inscription","T(itus) Titurius / [------","Titus Titurius",12767,1,"T. Titurius","T.","Titurius","T. Titurius","Titurius","[---]",NA,"male",NA,NA,NA,NA,NA,NA,"Titurius"
"95",12768,"HD007383",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",293,305,"mile-/leaguestone","NULL","mile-/leaguestone","[Imp(erator) Caes(ar) C(aius) Val]erius / Dio[cletia]nus P(ius) F(elix) I/nvictus Aug(ustus) et Imp(erator) C/aesa(r) M(arcus) Aurelius Val/erius Maximianus / P(ius) F(elix) Invictus Aug(ustus) [et Fl]avius Valerius [Co]/nstantius et [Galer]/[ius Valerius Maximia]/[nus nobb(ilissimi) Caess(ares)]","Imperator Caesar Caius Valerius Diocletianus Pius Felix Invictus Augustus et Imperator Caesar Marcus Aurelius Valerius Maximianus Pius Felix Invictus Augustus et Flavius Valerius Constantius et Galerius Valerius Maximianus nobbilissimi Caessares",12768,1,"[C. Val]erius Dio[cletia]nus","C.+","Valerius+","[C. Val]erius Dio[cletia]nus","Valerius","Diocletianus+",NA,"male",NA,NA,NA,NA,NA,NA,"Valerius"
"96",12769,"HD007383",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",293,305,"mile-/leaguestone","NULL","mile-/leaguestone","[Imp(erator) Caes(ar) C(aius) Val]erius / Dio[cletia]nus P(ius) F(elix) I/nvictus Aug(ustus) et Imp(erator) C/aesa(r) M(arcus) Aurelius Val/erius Maximianus / P(ius) F(elix) Invictus Aug(ustus) [et Fl]avius Valerius [Co]/nstantius et [Galer]/[ius Valerius Maximia]/[nus nobb(ilissimi) Caess(ares)]","Imperator Caesar Caius Valerius Diocletianus Pius Felix Invictus Augustus et Imperator Caesar Marcus Aurelius Valerius Maximianus Pius Felix Invictus Augustus et Flavius Valerius Constantius et Galerius Valerius Maximianus nobbilissimi Caessares",12769,2,"M. Aurelius Valerius Maximianus","M.","Aurelius Valerius","M. Aurelius Valerius Maximianus","Aurelius Valerius","Maximianus",NA,"male",NA,NA,NA,NA,NA,NA,"Aurelius Valerius"
"97",12770,"HD007383",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",293,305,"mile-/leaguestone","NULL","mile-/leaguestone","[Imp(erator) Caes(ar) C(aius) Val]erius / Dio[cletia]nus P(ius) F(elix) I/nvictus Aug(ustus) et Imp(erator) C/aesa(r) M(arcus) Aurelius Val/erius Maximianus / P(ius) F(elix) Invictus Aug(ustus) [et Fl]avius Valerius [Co]/nstantius et [Galer]/[ius Valerius Maximia]/[nus nobb(ilissimi) Caess(ares)]","Imperator Caesar Caius Valerius Diocletianus Pius Felix Invictus Augustus et Imperator Caesar Marcus Aurelius Valerius Maximianus Pius Felix Invictus Augustus et Flavius Valerius Constantius et Galerius Valerius Maximianus nobbilissimi Caessares",12770,3,"[Fl]avius Valerius [Co]nstantius",NA,"Flavius+ Valerius","[Fl]avius Valerius [Co]nstantius","Flavius Valerius","Constantius+",NA,"male",NA,NA,NA,NA,NA,NA,"Flavius Valerius"
"98",12771,"HD007383",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",293,305,"mile-/leaguestone","NULL","mile-/leaguestone","[Imp(erator) Caes(ar) C(aius) Val]erius / Dio[cletia]nus P(ius) F(elix) I/nvictus Aug(ustus) et Imp(erator) C/aesa(r) M(arcus) Aurelius Val/erius Maximianus / P(ius) F(elix) Invictus Aug(ustus) [et Fl]avius Valerius [Co]/nstantius et [Galer]/[ius Valerius Maximia]/[nus nobb(ilissimi) Caess(ares)]","Imperator Caesar Caius Valerius Diocletianus Pius Felix Invictus Augustus et Imperator Caesar Marcus Aurelius Valerius Maximianus Pius Felix Invictus Augustus et Flavius Valerius Constantius et Galerius Valerius Maximianus nobbilissimi Caessares",12771,4,"[Galerius Valerius Maximianus]",NA,"Galerius+ Valerius+","[Galerius Valerius Maximianus]","Galerius Valerius","Maximianus",NA,"male",NA,NA,NA,NA,NA,NA,"Galerius Valerius"
"99",12772,"HD007386",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",364,367,"mile-/leaguestone","NULL","mile-/leaguestone","D[d(ominis) nn(ostris) Ffll(aviis)] / Vale[ntin]iano / et V[alenti] victo[ri]/bus ac [tri]umfato/[ribus semper A]ugg(ustis) / bo[no r(ei) p(ublicae) n]atis","Ddominis nnostris Ffllaviis Valentiniano et Valenti victoribus ac triumfatoribus semper Auggustis bono rei publicae natis",12772,1,"[Ffll.] Vale[ntin]iano et V[alenti]",NA,"Flavius+","[Ffll.] Vale[ntin]iano et V[alenti]","Flavius","Valentinianus+",NA,NA,NA,NA,NA,NA,NA,NA,"Flavius"
"100",12773,"HD007386",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",364,367,"mile-/leaguestone","NULL","mile-/leaguestone","D[d(ominis) nn(ostris) Ffll(aviis)] / Vale[ntin]iano / et V[alenti] victo[ri]/bus ac [tri]umfato/[ribus semper A]ugg(ustis) / bo[no r(ei) p(ublicae) n]atis","Ddominis nnostris Ffllaviis Valentiniano et Valenti victoribus ac triumfatoribus semper Auggustis bono rei publicae natis",12773,2,"[Ffll.] Vale[ntin]iano et V[alenti]",NA,"Flavius+","[Ffll.] Vale[ntin]iano et V[alenti]","Flavius","Valens+",NA,NA,NA,NA,NA,NA,NA,NA,"Flavius"
"101",12774,"HD007389",8.0583,45.5628,"Vercellae","Transpadana (Regio XI)","Piemonte",1,100,"stele","NULL","epitaph","Alpino Lar/gio C(aius) et M(arcus) / f(ilii) f(ecerunt)","Alpino Largio Caius et Marcus filii fecerunt",12774,1,"Alpino Largio",NA,"Largius","Alpino Largio","Largius","Alpinus",NA,"male",NA,NA,NA,NA,NA,NA,"Largius"
"102",12775,"HD007389",8.0583,45.5628,"Vercellae","Transpadana (Regio XI)","Piemonte",1,100,"stele","NULL","epitaph","Alpino Lar/gio C(aius) et M(arcus) / f(ilii) f(ecerunt)","Alpino Largio Caius et Marcus filii fecerunt",12775,2,"C.","C.",NA,"C.",NA,NA,NA,"male",NA,NA,NA,NA,NA,NA,NA
"103",12776,"HD007389",8.0583,45.5628,"Vercellae","Transpadana (Regio XI)","Piemonte",1,100,"stele","NULL","epitaph","Alpino Lar/gio C(aius) et M(arcus) / f(ilii) f(ecerunt)","Alpino Largio Caius et Marcus filii fecerunt",12776,3,"M.","M.",NA,"M.",NA,NA,NA,"male",NA,NA,NA,NA,NA,NA,NA
"104",12777,"HD007392",8.0583,45.5628,"Vercellae","Transpadana (Regio XI)","Piemonte",-50,30,"stele","NULL","epitaph","Sext(us) Luc/retius / M(arci) f(ilius)","Sextus Lucretius Marci filius",12777,1,"Sext. Lucretius M.f.","Sex.","Lucretius","Sext. Lucretius M.f.","Lucretius",NA,NA,"male",NA,NA,NA,NA,NA,NA,"Lucretius"
"105",12780,"HD007395",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","Piemonte",1,300,"tabula","NULL","NULL","------] / CORO[---] / IIIIv[ir---] / v(ivus) [f(ecit)]","CORO IIII vir vivus fecit",12780,1,"[---]","[-]","[---]","[---]","[---]","[---]",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,""
"106",12783,"HD007398",8.4264,45.3211,"Vercellae","Transpadana (Regio XI)","NULL",1,200,"altar","NULL","votive inscription","[M(arti)?] v(otum) [s(olvit) l(ibens) m(erito)] / Q(uintus) Valerius / Secun[du]s / vetera[nus] / Aug(usti)","Marti votum solvit libens merito Quintus Valerius Secundus veteranus Augusti",12783,1,"Q. Valerius Secun[du]s","Q.","Valerius","Q. Valerius Secun[du]s","Valerius","Secundus+",NA,"male",NA,"military personnel",NA,NA,NA,NA,"Valerius"
"107",12785,"HD007401",8.1167,45.45,"Vercellae","Transpadana (Regio XI)","Piemonte",408,588,"tabula","NULL","epitaph","B(onae) m(emoriae) / hic in [som]no pace[s! re]quiescit / Vitale[s! v(ir)? i(nlustris)?] adol[escen]s qui vixit / in hac pra[e]senti vita ann(um) un(um) / et m(enses) VI obi[it s]ub d(ie) VI Non(as) Mai(as) / ind(ictione) VI [---?]","Bonae memoriae hic in somno paces requiescit Vitales vir inlustris adolescens qui vixit in hac praesenti vita annum unum et menses VI obiit sub die VI Nonas Maias indictione VI",12785,1,"Vitale[s](!)",NA,NA,"Vitale[s](!)",NA,"Vitales+ (= Vitalis+)",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,NA
"108",12788,"HD007404",8.6187,45.4451,"Novaria","Transpadana (Regio XI)","NULL",NA,NA,"statue base","NULL","honorific inscription","C(aio) Ov[inio - f(ilio)] / Seve[riano?] / Victo[rino c(larissimo)? v(iro)?] / iur(idico) reg(ionis) [Tansp(adanae)] / curatori [---] / Marsoru[m Marruviorum] / it(em) Corf[iniensium ---] / pr(aetori) k(andidato) t[rib(uno) plebis k(andidato) divi] / Ver[i Augusti] / [q(uaestori) pr(ovinciae)] Sic[iliae trib(uno) milit(um) leg(ionis)] / [I Mi]n[erviae? ---] / IIIN[---] / I P[---]","Caio Ovinio filio Severiano Victorino clarissimo viro iuridico regionis Tanspadanae curatori Marsorum Marruviorum item Corfiniensium praetori kandidato tribuno plebis kandidato divi Veri Augusti quaestori provinciae Siciliae tribuno militum legionis I Minerviae IIIN I P",12788,1,"C. Ov[inio] -f.] Seve[riano?] Victo[rino]","C.","Ovinius+","C. Ov[inio] -f.] Seve[riano?] Victo[rino]","Ovinius","Severianus+","Victorinus+",NA,NA,"senatorial order",NA,NA,NA,NA,"Ovinius"
"109",13701,"HD008435",8.8577,45.5011,"NULL","Transpadana (Regio XI)","NULL",1,200,"altar","NULL","votive inscription","Mercurio / C(aius) Cassius / Phoebi[o(n?)] / v(otum) s(olvit) l(ibens) m(erito)","Mercurio Caius Cassius Phoebion votum solvit libens merito",13701,1,"C. Cassius Phoebi[o.]","C.","Cassius","C. Cassius Phoebi[o.]","Cassius","Phoebion+*?",NA,NA,NA,NA,NA,NA,NA,NA,"Cassius"
"110",13703,"HD008441",7.65,45.3667,"NULL","Transpadana (Regio XI)","NULL",1,150,"NULL","NULL","epitaph","Livia P(ubli) l(iberta) / Rufa v(ixit) / a(nnos) LXIIII","Livia Publi liberta Rufa vixit annos LXIIII",13703,1,"Livia P.l. Rufa",NA,"Livia","Livia P.l. Rufa","Livia","Rufa",NA,NA,NA,"freedmen / freedwomen",NA,NA,NA,NA,"Livia"
"111",13705,"HD008444",7.8667,45.4667,"Eporedia","Transpadana (Regio XI)","Piemonte",51,200,"altar","NULL","votive inscription","D(eo) Iovi O(ptimo) M(aximo) / M(arcus) Mettius / Eulonghus(!) // D(eo) Iovi O(ptimo) M(aximo) / M(arcus) Mettius / Eulonghus(!) / voto / posuit","Deo Iovi Optimo Maximo Marcus Mettius Eulonghus Deo Iovi Optimo Maximo Marcus Mettius Eulonghus voto posuit",13705,1,"M. Mettius Eulonghus","M.","Mettius","M. Mettius Eulonghus","Mettius","Eulonghus",NA,"male",NA,NA,NA,NA,NA,NA,"Mettius"
"112",13707,"HD008447",7.8667,45.4667,"Eporedia","Transpadana (Regio XI)","NULL",1,150,"NULL","NULL","epitaph","L(ucio) Pomponio Capit[oni et] / Avilliae Q(uinti) f(iliae) Secun[dae] / CE(?)[---]CETE(?)[------","Lucio Pomponio Capitoni et Avilliae Quinti filiae Secundae CE CETE",13707,1,"L. Pomponio Capit[oni]","L.","Pomponius","L. Pomponio Capit[oni]","Pomponius","Capito+",NA,NA,NA,NA,NA,NA,NA,NA,"Pomponius"
"113",13708,"HD008447",7.8667,45.4667,"Eporedia","Transpadana (Regio XI)","NULL",1,150,"NULL","NULL","epitaph","L(ucio) Pomponio Capit[oni et] / Avilliae Q(uinti) f(iliae) Secun[dae] / CE(?)[---]CETE(?)[------","Lucio Pomponio Capitoni et Avilliae Quinti filiae Secundae CE CETE",13708,2,"Avilliae Q.f. Secun[dae]",NA,"Avillia","Avilliae Q.f. Secun[dae]","Avillia","Secunda+",NA,NA,NA,NA,NA,NA,NA,NA,"Avillia"
"114",13709,"HD008450",7.8667,45.4667,"Eporedia","Transpadana (Regio XI)","Piemonte",101,300,"NULL","NULL","epitaph","D(is) M(anibus) / Doso(!) / Mene(!)","Dis Manibus Doso Mene",13709,1,"Doso(!)",NA,NA,"Doso(!)",NA,"Doso (= Dosa?)",NA,"female",NA,NA,NA,NA,NA,NA,NA
"115",13710,"HD008450",7.8667,45.4667,"Eporedia","Transpadana (Regio XI)","Piemonte",101,300,"NULL","NULL","epitaph","D(is) M(anibus) / Doso(!) / Mene(!)","Dis Manibus Doso Mene",13710,2,"Mene(!)",NA,NA,"Mene(!)",NA,"Mene (= Mena?)",NA,"female",NA,NA,NA,NA,NA,NA,NA
"116",13713,"HD008459",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"tabula","NULL","epitaph","Ocno / Iovonis(!) / f(ilius) / v(ivus) [f(ecit)?]","Ocno Iovonis filius vivus fecit",13713,1,"Ocno",NA,NA,"Ocno",NA,"Ocnus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",13714,"HD008459",7.8759,45.4666,"Eporedia","Transpadana (Regio XI)","NULL",1,100,"tabula","NULL","epitaph","Ocno / Iovonis(!) / f(ilius) / v(ivus) [f(ecit)?]","Ocno Iovonis filius vivus fecit",13714,2,"Iovonis(!) f.",NA,NA,"Iovonis(!) f.",NA,"Iovinus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",14114,"HD009109",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",100,110,"statue base","NULL","honorific inscription","C(aio) Plinio L(uci) f(ilio) Ouf(entia) / Caecilio Secundo / co(n)s(uli) M(arcus) Cassius Comic(us)","Caio Plinio Luci filio Oufentia Caecilio Secundo consuli Marcus Cassius Comicus",14114,1,"C. Plinio L.f. Ouf. Caecilio Secundo","C.","Plinius Caecilius","C. Plinio L.f. Ouf. Caecilio Secundo","Plinius Caecilius","Secundus",NA,"male",NA,"senatorial order",NA,NA,NA,NA,"Plinius Caecilius"
"119",14115,"HD009109",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",100,110,"statue base","NULL","honorific inscription","C(aio) Plinio L(uci) f(ilio) Ouf(entia) / Caecilio Secundo / co(n)s(uli) M(arcus) Cassius Comic(us)","Caio Plinio Luci filio Oufentia Caecilio Secundo consuli Marcus Cassius Comicus",14115,2,"M. Cassius Comic.","M.","Cassius","M. Cassius Comic.","Cassius","Comicus*",NA,"male",NA,NA,NA,NA,NA,NA,"Cassius"
"120",14116,"HD009112",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",377,NA,"tabula","NULL","epitaph","Dexp(ositio)(!) Victurini(!) / exsorcist(a)e(!) die /III Non(as) Nob(embres)(!) Gra/tiano Aug(usto) IIII et / Merobaude cons(ulibu)s","Dexpositio Victurini exsorcistae die III Nonas Nobembres Gratiano Augusto IIII et Merobaude consulibus",14116,1,"Victurini(!)",NA,NA,"Victurini(!)",NA,"Victurinus (= Victorinus)",NA,"male",NA,NA,NA,NA,NA,NA,NA
"121",14117,"HD009112",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",377,NA,"tabula","NULL","epitaph","Dexp(ositio)(!) Victurini(!) / exsorcist(a)e(!) die /III Non(as) Nob(embres)(!) Gra/tiano Aug(usto) IIII et / Merobaude cons(ulibu)s","Dexpositio Victurini exsorcistae die III Nonas Nobembres Gratiano Augusto IIII et Merobaude consulibus",14117,2,"Gratiano",NA,NA,"Gratiano",NA,"Gratianus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"122",14118,"HD009112",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",377,NA,"tabula","NULL","epitaph","Dexp(ositio)(!) Victurini(!) / exsorcist(a)e(!) die /III Non(as) Nob(embres)(!) Gra/tiano Aug(usto) IIII et / Merobaude cons(ulibu)s","Dexpositio Victurini exsorcistae die III Nonas Nobembres Gratiano Augusto IIII et Merobaude consulibus",14118,3,"Merobande",NA,NA,"Merobande",NA,"Merobandes",NA,"male",NA,"senatorial order",NA,NA,NA,NA,NA
"123",14119,"HD009115",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","NULL","epitaph","B(onae) m(emoriae) / Variciae Asteriae matri fideli qu(a)e / vixit cum marito annos plus / minus octoginta menses sex et / dies XXI Victorinus et Marcellus / filii contra votum posuerunt et / procuraverunt","Bonae memoriae Variciae Asteriae matri fideli quae vixit cum marito annos plus minus octoginta menses sex et dies XXI Victorinus et Marcellus filii contra votum posuerunt et procuraverunt",14119,1,"Variciae Asteriae",NA,"Varicia","Variciae Asteriae","Varicia","Asteria",NA,"female",NA,NA,NA,NA,NA,NA,"Varicia"
"124",14120,"HD009115",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","NULL","epitaph","B(onae) m(emoriae) / Variciae Asteriae matri fideli qu(a)e / vixit cum marito annos plus / minus octoginta menses sex et / dies XXI Victorinus et Marcellus / filii contra votum posuerunt et / procuraverunt","Bonae memoriae Variciae Asteriae matri fideli quae vixit cum marito annos plus minus octoginta menses sex et dies XXI Victorinus et Marcellus filii contra votum posuerunt et procuraverunt",14120,2,"Victorinus",NA,NA,"Victorinus",NA,"Victorinus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"125",14121,"HD009115",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",301,500,"tabula","NULL","epitaph","B(onae) m(emoriae) / Variciae Asteriae matri fideli qu(a)e / vixit cum marito annos plus / minus octoginta menses sex et / dies XXI Victorinus et Marcellus / filii contra votum posuerunt et / procuraverunt","Bonae memoriae Variciae Asteriae matri fideli quae vixit cum marito annos plus minus octoginta menses sex et dies XXI Victorinus et Marcellus filii contra votum posuerunt et procuraverunt",14121,3,"Marcellus",NA,NA,"Marcellus",NA,"Marcellus",NA,"male",NA,NA,NA,NA,NA,NA,NA
"126",14123,"HD009118",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",471,600,"tabula","NULL","epitaph","[Heliod]or[o] Macedoni / q[ui] vixit ann(os) pl(us) m(inus) LXX / Theoctes fr(atris) fil(ius) v(iro) e(gregiae) me(moriae) p(o)s(ui)t / d(ie) III K(alendas) D(ecembres)","Heliodoro Macedoni qui vixit annos plus minus LXX Theoctes fratris filius viro egregiae memoriae posuit die III Kalendas Decembres",14123,1,"[Heliod]or[o] Macedoni",NA,NA,"[Heliod]or[o] Macedoni",NA,"Heliodorus+ Macedo",NA,"male",NA,NA,NA,NA,NA,NA,NA
"127",14124,"HD009118",9.1881,45.4637,"Mediolanum","Transpadana (Regio XI)","Lombardia",471,600,"tabula","NULL","epitaph","[Heliod]or[o] Macedoni / q[ui] vixit ann(os) pl(us) m(inus) LXX / Theoctes fr(atris) fil(ius) v(iro) e(gregiae) me(moriae) p(o)s(ui)t / d(ie) III K(alendas) D(ecembres)","Heliodoro Macedoni qui vixit annos plus minus LXX Theoctes fratris filius viro egregiae memoriae posuit die III Kalendas Decembres",14124,2,"Theoctes",NA,NA,"Theoctes",NA,"Theoctes",NA,"male",NA,NA,NA,NA,NA,NA,NA
"128",14125,"HD009120",9.0855,45.812,"Comum","Transpadana (Regio XI)","Lombardia",201,400,"sarcophagus","NULL","epitaph","L(uci) Tertieni Crescentis / nepos patruo / de se bene merenti","Luci Tertieni Crescentis nepos patruo de se bene merenti",14125,1,"L. Tertieni Crescentis","L.","Tertienus","L. Tertieni Crescentis","Tertienus","Crescens",NA,NA,NA,NA,NA,NA,NA,NA,"Tertienus"
"129",14126,"HD009123",9.1566,45.1859,"Ticinum","Transpadana (Regio XI)","Lombardia",101,200,"altar","NULL","votive inscription","I(ovi) [O(ptimo)] M(aximo) // C(aius) A[---]us Ter[enti]nus(?) / [I]IIIvir a(edilicia) p(otestate) praef(ectus) / [i(ure)] d(icundo) q(uaestor) aliment(orum) / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo Caius A us Terentinus IIII vir aedilicia potestate praefectus iure dicundo quaestor alimentorum votum solvit libens merito",14126,1,"C. A[---]us Ter[enti]nus(?)","C.","A[---]us","C. A[---]us Ter[enti]nus(?)","A[---]us","Terentinus+?",NA,"male",NA,"decurial order, higher local offices",NA,NA,NA,NA,""
